5.32	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase - in de tweede vluchtfase salto voorover gestrekt met 1/1 draai (360o) 5.20 P.		C
5.33	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase - in de tweede vluchtfase salto voorover gestrekt met 11⁄2 draai (540o) 5.60 P.		D
5.34	Arabier flik-flak met 1⁄2 draai (180o) in de eerste vluchtfase - in de tweede vluchtfase salto voorover gestrekt met 2/1 draai (720o) 6.00 P.		E
0.10	Streksprong op - streksprong af  1.10 P.		A
0.10	Streksprong op - streksprong af  1.10 P.		A
T1.41	Arabier flik-flak in de 1e vluchtfase -  in de 2e vluchtfase 1⁄2 draai (180o) af 2.40 P.		A
T1.42	Arabier flik-flak in de 1e vluchtfase - in de 2e vluchtfase 1/1 draai (360o) af 2.80 P.		B
T1.43	Arabier flik-flak in de 1e vluchtfase - in de 2e vluchtfase met 11⁄2 draai (540o) af 3.20 P.		C
T1.41	Arabier flik-flak in de 1e vluchtfase -  in de 2e vluchtfase 1⁄2 draai (180o) af 2.40 P.		A
T1.41	Arabier flik-flak in de 1e vluchtfase -  in de 2e vluchtfase 1⁄2 draai (180o) af 2.40 P.		A
