5.502	Vrije ruglingse hoeksteun op de HL (benen gesloten)  -draai a.o. aan de HL - doorga an tot salto a.o. gestrekt (of gehoekt) tussen de liggers tot vrije streksteun op de LL  -draai a.o. aan de HL - ½ draai (180°) met vluchtfase tot handstand op de LL	0.5	5	E	acrobatic
5.303	Vrije ruglingse hoeksteun (benen gesloten) op de HL - volledige draai a.o. met terughoeken achterwaarts tot strekhang aan de HL	0.3	5	C	acrobatic
5.403	Vrije ruglingse hoeksteun (benen gesloten) op de HL - volledige draai a.o. met contra -vluchtfase achterwaarts gespreid tot strekhang aan de HL	0.4	5	D	acrobatic
5.104	Disloqueren (Schleudern) uit vouwhangzwaai a.o. aan de HL tot strekhang aan de HL	0.1	5	A	acrobatic
5.304	Schleudern tot bijna handstand met omspringen tot in bovengreep aan de HL	0.3	5	C	acrobatic
5.404	Vouwhangzwaai a.o. aan de HL - disloqueren met vluchtfase tot handstand op de LL ,  ook vanuit doorsteken	0.4	5	D	acrobatic
5.105	Zolendraai v.o. (gehoekt of gespreid)	0.1	5	A	acrobatic
5.305	Gehoekte zolendraai v.o. tot handstand, ook met ½ draai (180°)  tot handstand	0.3	5	C	acrobatic
5.405	Gehoekte zolendraai v.o. met 1/1 draai (360°) tot handstand	0.4	5	D	acrobatic
5.106	Zolendraai v.o. in ellegreep (gehoekt of gespreid)	0.1	5	A	acrobatic
5.306	Gehoekte zolendraai v.o. tot handstand in ellegreep, ook met ½ draai (180 )	0.3	5	C	acrobatic
5.406	Gehoekte zolendraai v.o in ellegreep met 1/1 draai (360 ) tot handstand	0.4	5	D	acrobatic
5.207	Onderzwaai aan de LL (met steun van de voeten) met contravlucht voorwaarts tot strekhang aan de HL	0.2	5	B	acrobatic
5.307	Onderzwaai aan de HL of  LL met  1½ draai (540°) tot strek - of zweefhang	0.3	5	C	acrobatic
5.607	Met gezicht naar buiten - onderzwaai aan de HL met voeten op de ligger  - contra -salto v.o. met gespreide benen tot strekhang aan de HL in ondergreep	0.6	5	F	acrobatic
5.108	Gehoekte zolendraai a.o. (gehoekt of gespreid)	0.1	5	A	acrobatic
5.308	Gehoekte zolendraai a.o. tot handstand, ook met greepwissel tot ondergreep, ook met ½ draai (180 )	0.3	5	C	acrobatic
5.408	Gehoekte zolendraai a.o. met 1/1  draai (360°) tot handstand	0.4	5	D	acrobatic
5.508	Gehoekte zolendraai a.o. met 1½ draai (540°) tot handstand	0.5	5	E	acrobatic
5.409	Streksteun voorlings aan  de binnenzijde van de LL - gehoekte zolendraai a.o. door handstand met vlucht tot strekhang aan de HL	0.4	5	D	acrobatic
5.509	Met gezicht naar buiten – gehoekte zolendraai a.o. aan de LL door handstand met vlucht en ½ draai (180º) of 1/1 draai (360°) tot hang aan de HL	0.5	5	E	acrobatic
5.410	Gehoekte zolendraai a.o. met contraspreiden tot strekhang aan de HL	0.4	5	D	acrobatic
5.510	Gehoekte  zolendraai a .o. met gehoekte hecht over de HL tot strekhang aan de HL   Gehoekte  zolendraai a .o. met contraspreiden  - rugwaarts  over de HL met ½ draai (180º) tot strekhang  aan de HL in gemengde ellegreep	0.5	5	E	acrobatic
5.610	Gehoekte zolendraai a.o. met gestrekte contravlucht – rugwaarts  in gestrekte positie over de HL tot strekhang	0.6	5	F	acrobatic
5.710	Gehoekte zolendraai a.o. met gestrekte contravlucht – rugwaarts  in gestrekte positie over de HL met ½ draai (180º) tot strekhang in gemengde ellegreep      Brug – Groep 5 – 6 	0.7	5	G	acrobatic
6.101	Vanaf HL - onderzwaai met ½ draai (180°) of 1/1 draai (360°)	0.1	6	A	acrobatic
6.201	Vanaf HL - onderzwaai met salto v.o. gehurkt of gehoekt	0.2	6	B	acrobatic
6.301	Vanaf HL - onderzwaai  - salto v.o. gehurkt of gehoekt met ½ (180º) of 1/1 draai (360°)	0.3	6	C	acrobatic
6.401	Vanaf HL - onderzwaai  - salto v.o. gehurkt met 1½  draai (540°)    Onderzwaai – gestrekte salto v.o. met ½ draai (180°)	0.4	6	D	acrobatic
6.102	Vanaf HL – vrije onderzwaai met ½ draai (180°) of 1/1 draai (360°)	0.1	6	A	acrobatic
6.302	Vanaf HL - vrije onderzwaai met salto v.o. gehurkt of gehoekt, ook met ½ draai (180°)    Vrije spreiddraai v.o. m et salto v .o. gehurkt , ook met ½ draai (180°)	0.3	6	C	acrobatic
6.402	Vanaf HL  - vrije onderzwaai met salto v .o. gehurkt met 1/1 draai (360°)    Vrije gehoekte draai a.o. gevolgd door salto v.o. gestrekt met ½ draai (180º)   Vanaf HL -  vrije spreiddraai met salto v.o. gehurkt met 1/1 draai (360°)	0.4	6	D	acrobatic
6.502	Vanaf HL – vrije onderzwaai  met salto v.o. gehurkt met 1½ draai (540°)	0.5	6	E	acrobatic
6.303	Vanaf HL onderzwaai met ½ draai (180°) of vrije onderzwaai met ½ draai (180°) gevolgd door salto a.o. gehurkt of gehoekt.	0.3	6	C	acrobatic
6.403	Vanaf HL - onderzwaai met ½ draai (180°) gevolgd door salto a.o. gestrekt    Vanaf HL - vrije onderzwaai met ½ draai (180 °) gevolgd door  salto a.o. gestrekt   Vanaf HL - onderzwaai met ½ draai (180°)  gevolgd door  salto a.o. gehurkt met 1/1 draai (360°)	0.4	6	D	acrobatic
6.104	Voorzwaai - salto a.o. gehurkt, gehoekt of gestrekt	0.1	6	A	acrobatic
6.204	Voorzwaai - salto a.o. gehurkt of gestrekt met ½ draai (180°) of met  1/1 draai (360°)	0.2	6	B	acrobatic
6.304	Voorzwaai - salto a.o. gestrekt met 1½ draai (540°) of 2/1 dr aai (720°)	0.3	6	C	acrobatic
6.404	Voorzwaai - salto a.o. gestrekt met 2½ draai (900º)	0.4	6	D	acrobatic
6.504	Voorzwaai – salto a.o. gestrekt met 3/1 draai (1080°)	0.5	6	E	acrobatic
6.205	Voorzwaai - dubbele salto a.o. gehurkt	0.2	6	B	acrobatic
6.305	Voorzwaai - dubbele salto a.o. gehoekt	0.3	6	C	acrobatic
6.405	Voorzwaai - dubbele salto a.o. gehurkt  of gehoekt  met 1/1 draai (360°) in de eerste salto of in de tweede salto	0.4	6	D	acrobatic
6.505	Voorzwaai – dubbele salto a.o. gehurkt met 1 ½ draai (540°)	0.5	6	E	acrobatic
6.605	Voorzwaai – dubbele  salto a.o. gehurkt met 2/1 draai  (720°)	0.6	6	F	acrobatic
6.406	Voorzwaai dubbele salto a.o. gestrekt	0.4	6	D	acrobatic
6.506	Voorzwaai  dubbele salto a.o. gestrekt met 1/1 draai (360°) in de eerste of tweede salto	0.5	6	E	acrobatic
6.706	Voorzwaai dubbele salto a.o. gestrekt met 2/1 draai (720°)     Brug – Groep 6 - 4 	0.7	6	G	acrobatic
